Artist;Album;Year;Track#;Song;Length
Young Fathers;Dead;2014;1;No Way;02:50
Young Fathers;Dead;2014;2;Low;03:11
Young Fathers;Dead;2014;3;Just Another Bullet;02:37
Young Fathers;Dead;2014;4;War;02:50
Young Fathers;Dead;2014;5;Get Up;04:06
Young Fathers;Dead;2014;6;Dip;03:03
Young Fathers;Dead;2014;7;Paying;03:12
Young Fathers;Dead;2014;8;Mmmh Mmmh;03:31
Young Fathers;Dead;2014;9;Hangman;02:53
Young Fathers;Dead;2014;10;Am I Not Your Boy;03:08
Young Fathers;Dead;2014;11;I've Arrived;03:23
Benjamin Clementine;At least for now;2015;1;Winston Churchill's Boy;05:37
Benjamin Clementine;At least for now;2015;2;Then I Heard a Bachelor's Cry;05:08
Benjamin Clementine;At least for now;2015;3;London;04:01
Benjamin Clementine;At least for now;2015;4;Adios;04:17
Benjamin Clementine;At least for now;2015;5;St-Clementine-on-Tea-and-Croissants;01:12
Benjamin Clementine;At least for now;2015;6;Nemesis;05:04
Benjamin Clementine;At least for now;2015;7;The People and I;05:16
Benjamin Clementine;At least for now;2015;8;Condolence;06:30
Benjamin Clementine;At least for now;2015;9;Cornerstone;04:31
Benjamin Clementine;At least for now;2015;10;Quiver a Little;04:42
Benjamin Clementine;At least for now;2015;11;Gone;04:32
Skepta;Konnichiwa;2016;1;Konnichiwa;03:16
Skepta;Konnichiwa;2016;2;Lyrics;02:36
Skepta;Konnichiwa;2016;3;Corn on the Curb;05:01
Skepta;Konnichiwa;2016;4;Crime Riddim;04:36
Skepta;Konnichiwa;2016;5;It Ain't Safe;03:43
Skepta;Konnichiwa;2016;6;Ladies Hit Squad;04:39
Skepta;Konnichiwa;2016;7;Numbers;03:20
Skepta;Konnichiwa;2016;8;Man;03:34
Skepta;Konnichiwa;2016;9;Shutdown;03:08
Skepta;Konnichiwa;2016;10;That's Not Me;03:05
Skepta;Konnichiwa;2016;11;Detox;02:47
Skepta;Konnichiwa;2016;12;Text Me Back;04:24
Sampha;Process;2017;1;Plastic 100°C;05:16
Sampha;Process;2017;2;Blood on Me;04:06
Sampha;Process;2017;3;Kora Sings;04:17
Sampha;Process;2017;4;(No One Knows Me) Like the Piano;03:38
Sampha;Process;2017;5;Take Me Inside;02:18
Sampha;Process;2017;6;Reverse Faults;04:13
Sampha;Process;2017;7;Under;04:41
Sampha;Process;2017;8;Timmy's Prayer;04:23
Sampha;Process;2017;9;Incomplete Kisses;03:53
Sampha;Process;2017;10;What Shouldn't I Be?;03:32
Wolf Alice;Vision of a Life;2018;1;Heavenward;04:55
Wolf Alice;Vision of a Life;2018;2;Yuk Foo;02:13
Wolf Alice;Vision of a Life;2018;3;Beautifully Unconventional;02:13
Wolf Alice;Vision of a Life;2018;4;Don't Delete the Kisses;04:35
Wolf Alice;Vision of a Life;2018;5;Planet Hunter;03:52
Wolf Alice;Vision of a Life;2018;6;Sky Musings;02:58
Wolf Alice;Vision of a Life;2018;7;Formidable Cool;03:33
Wolf Alice;Vision of a Life;2018;8;Space & Time;02:27
Wolf Alice;Vision of a Life;2018;9;Sadboy;04:11
Wolf Alice;Vision of a Life;2018;10;St. Purple & Green;04:21
Wolf Alice;Vision of a Life;2018;11;After the Zero Hour;03:24
Wolf Alice;Vision of a Life;2018;12;Visions of a Life;07:57
Dave;Pyschodrama;2019;1;Psycho;04:09
Dave;Pyschodrama;2019;2;Streatham;03:26
Dave;Pyschodrama;2019;3;Black;03:48
Dave;Pyschodrama;2019;4;Purple Heart;02:44
Dave;Pyschodrama;2019;5;Location;04:01
Dave;Pyschodrama;2019;6;Disaster;04:00
Dave;Pyschodrama;2019;7;Screwface Capital;04:13
Dave;Pyschodrama;2019;8;Environment;03:23
Dave;Pyschodrama;2019;9;Lesley;11:08
Dave;Pyschodrama;2019;10;Voices;03:18
Dave;Pyschodrama;2019;11;Drama;07:04
Micahel Kiwanuka;Kiwanuka;2020;1;You Ain't the Problem;04:09
Micahel Kiwanuka;Kiwanuka;2020;2;Rolling;02:51
Micahel Kiwanuka;Kiwanuka;2020;3;I've Been Dazed;04:25
Micahel Kiwanuka;Kiwanuka;2020;4;Piano Joint (This Kind of Love) (Intro);02:18
Micahel Kiwanuka;Kiwanuka;2020;5;Piano Joint (This Kind of Love);03:51
Micahel Kiwanuka;Kiwanuka;2020;6;Another Human Being;01:51
Micahel Kiwanuka;Kiwanuka;2020;7;Living in Denial;03:31
Micahel Kiwanuka;Kiwanuka;2020;8;Hero (Intro);01:20
Micahel Kiwanuka;Kiwanuka;2020;9;Hero;03:19
Micahel Kiwanuka;Kiwanuka;2020;10;Hard to Say Goodbye;07:05
Micahel Kiwanuka;Kiwanuka;2020;11;Final Days;04:10
Micahel Kiwanuka;Kiwanuka;2020;12;Interlude (Loving the People);02:42
Micahel Kiwanuka;Kiwanuka;2020;13;Solid Ground;03:53
Micahel Kiwanuka;Kiwanuka;2020;14;Light;05:48
Arlo Parks;Collapsed in Sunbeams;2021;1;Collapsed in Sunbeams;00:54
Arlo Parks;Collapsed in Sunbeams;2021;2;Hurt;03:36
Arlo Parks;Collapsed in Sunbeams;2021;3;Too Good;03:41
Arlo Parks;Collapsed in Sunbeams;2021;4;Hope;04:30
Arlo Parks;Collapsed in Sunbeams;2021;5;Caroline;03:26
Arlo Parks;Collapsed in Sunbeams;2021;6;Black Dog;03:48
Arlo Parks;Collapsed in Sunbeams;2021;7;Green Eyes;03:18
Arlo Parks;Collapsed in Sunbeams;2021;8;Just Go;03:06
Arlo Parks;Collapsed in Sunbeams;2021;9;For Violet;03:32
Arlo Parks;Collapsed in Sunbeams;2021;10;Eugene;03:34
Arlo Parks;Collapsed in Sunbeams;2021;11;Bluish;03:14
Arlo Parks;Collapsed in Sunbeams;2021;12;Portra 400;02:56
